economy,year,value,indicator description,indicator code
MLI,2019,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2019,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2019,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2019,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2019,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2019,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2019,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2019,1.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2019,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2019,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2020,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2020,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2020,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2020,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2020,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2020,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2020,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2020,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2020,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2020,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2020,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2020,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2020,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2020,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2020,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2020,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2020,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2020,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2020,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2020,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2020,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2020,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2020,1.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2020,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2020,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2021,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2021,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2021,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2021,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2021,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2021,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2021,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2021,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2021,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2021,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2021,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2021,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2021,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2021,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2021,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2021,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2021,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2021,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2021,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2021,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2021,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2021,1.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2021,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2021,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2022,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2022,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2022,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2022,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2022,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2022,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2022,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2022,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2022,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2022,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2022,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2022,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2022,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2022,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2022,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2022,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2022,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2022,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2022,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2022,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2022,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2022,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2022,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2022,1.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2022,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2022,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2022,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
AGO,2023,,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BDI,2023,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BEN,2023,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
BFA,2023,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CAF,2023,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CIV,2023,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CMR,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COD,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COG,2023,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
COM,2023,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
CPV,2023,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
DJI,2023,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ERI,2023,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ETH,2023,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GHA,2023,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GIN,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GMB,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
GNB,2023,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
KEN,2023,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LBR,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
LSO,2023,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MDG,2023,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MLI,2023,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MOZ,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MRT,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
MWI,2023,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NER,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
NGA,2023,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
RWA,2023,4.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SDN,2023,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SEN,2023,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SLE,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SOM,2023,2.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
SSD,2023,1.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
STP,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TCD,2023,2.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TGO,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
TZA,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
UGA,2023,3.5,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZMB,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
ZWE,2023,3.0,Indicator Name	CPIA quality of public administration rating,IQ.CPA.PADM.XQ
