Theme,Topic,Country,Year,Indicator,Value
Theme 2:  Tax Base,Population,Lesotho,2023,Number of active wage taxpayers (employees):,
Theme 2:  Tax Base,Population,Lesotho,2023,Total number of actual active taxpayers,60307
Theme 2:  Tax Base,Population,Lesotho,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Lesotho,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Liberia,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Liberia,2023,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2023,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2023,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2023,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Liberia,2023,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Liberia,2023,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2023,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2023,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Liberia,2023,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Liberia,2023,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2023,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2023,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Liberia,2023,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Liberia,2023,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Liberia,2023,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Liberia,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Liberia,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Madagascar,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Madagascar,2023,Number of corporate income taxpayers:,46390
Theme 2:  Tax Base,Population,Madagascar,2023,Number of VAT taxpayers:,9369
Theme 2:  Tax Base,Population,Madagascar,2023,Number of personal income taxpayers:,1473501
Theme 2:  Tax Base,Population,Madagascar,2023,Number of wage/salary taxpayers (employers):,21519
Theme 2:  Tax Base,Population,Madagascar,2023,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Madagascar,2023,Number of trust taxpayers:,25
Theme 2:  Tax Base,Population,Madagascar,2023,Number presumptive taxpayers:,428961
Theme 2:  Tax Base,Population,Madagascar,2023,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Madagascar,2023,Total number of actual registered taxpayers,1519891
Theme 2:  Tax Base,Population,Madagascar,2023,Number of active corporate income taxpayers:,35018
Theme 2:  Tax Base,Population,Madagascar,2023,Number of active VAT taxpayers:,8978
Theme 2:  Tax Base,Population,Madagascar,2023,Number of active personal income taxpayers:,417770
Theme 2:  Tax Base,Population,Madagascar,2023,Number of active wage taxpayers (employers):,17428
Theme 2:  Tax Base,Population,Madagascar,2023,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Madagascar,2023,Total number of actual active taxpayers,539964
Theme 2:  Tax Base,Population,Madagascar,2023,Number of large corporate income taxpayers,873
Theme 2:  Tax Base,Population,Madagascar,2023,Number of large corporate income taxpayers,771
Theme 2:  Tax Base,Population,Malawi,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Malawi,2023,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Malawi,2023,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Malawi,2023,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Malawi,2023,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Malawi,2023,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Malawi,2023,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Malawi,2023,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Malawi,2023,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Malawi,2023,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Malawi,2023,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Malawi,2023,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Malawi,2023,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Malawi,2023,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Malawi,2023,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Malawi,2023,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Malawi,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Malawi,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Mauritius,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Mauritius,2023,Number of corporate income taxpayers:,81401
Theme 2:  Tax Base,Population,Mauritius,2023,Number of VAT taxpayers:,23622
Theme 2:  Tax Base,Population,Mauritius,2023,Number of personal income taxpayers:,625462
Theme 2:  Tax Base,Population,Mauritius,2023,Number of wage/salary taxpayers (employers):,45142
Theme 2:  Tax Base,Population,Mauritius,2023,Number of wage/salary taxpayers (employees):,226304
Theme 2:  Tax Base,Population,Mauritius,2023,Number of trust taxpayers:,1886
Theme 2:  Tax Base,Population,Mauritius,2023,Number presumptive taxpayers:,454
Theme 2:  Tax Base,Population,Mauritius,2023,Other taxpayers (Specify):,
Theme 2:  Tax Base,Population,Mauritius,2023,Total number of actual registered taxpayers,716896
Theme 2:  Tax Base,Population,Mauritius,2023,Number of active corporate income taxpayers:,81401
Theme 2:  Tax Base,Population,Mauritius,2023,Number of active VAT taxpayers:,23622
Theme 2:  Tax Base,Population,Mauritius,2023,Number of active personal income taxpayers:,292829
Theme 2:  Tax Base,Population,Mauritius,2023,Number of active wage taxpayers (employers):,37785
Theme 2:  Tax Base,Population,Mauritius,2023,Number of active wage taxpayers (employees):,226304
Theme 2:  Tax Base,Population,Mauritius,2023,Total number of actual active taxpayers,
Theme 2:  Tax Base,Population,Mauritius,2023,Number of large corporate income taxpayers,17337
Theme 2:  Tax Base,Population,Mauritius,2023,Number of large corporate income taxpayers,17337
Theme 2:  Tax Base,Population,Morocco,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Morocco,2023,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Morocco,2023,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Morocco,2023,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Morocco,2023,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Morocco,2023,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Morocco,2023,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Morocco,2023,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Morocco,2023,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Morocco,2023,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Morocco,2023,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Morocco,2023,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Morocco,2023,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Morocco,2023,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Morocco,2023,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Morocco,2023,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Morocco,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Morocco,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Mozambique,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Mozambique,2023,Number of corporate income taxpayers:,191
Theme 2:  Tax Base,Population,Mozambique,2023,Number of VAT taxpayers:,184576
Theme 2:  Tax Base,Population,Mozambique,2023,Number of personal income taxpayers:,6176
Theme 2:  Tax Base,Population,Mozambique,2023,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Mozambique,2023,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Mozambique,2023,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Mozambique,2023,Number presumptive taxpayers:,825
Theme 2:  Tax Base,Population,Mozambique,2023,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Mozambique,2023,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Mozambique,2023,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Mozambique,2023,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Mozambique,2023,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Mozambique,2023,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Mozambique,2023,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Mozambique,2023,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Mozambique,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Mozambique,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Namibia,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Namibia,2023,Number of corporate income taxpayers:,185032
Theme 2:  Tax Base,Population,Namibia,2023,Number of VAT taxpayers:,52291
Theme 2:  Tax Base,Population,Namibia,2023,Number of personal income taxpayers:,640626
Theme 2:  Tax Base,Population,Namibia,2023,Number of wage/salary taxpayers (employers):,18384
Theme 2:  Tax Base,Population,Namibia,2023,Number of wage/salary taxpayers (employees):,830293
Theme 2:  Tax Base,Population,Namibia,2023,Number of trust taxpayers:,4635
Theme 2:  Tax Base,Population,Namibia,2023,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Namibia,2023,Other taxpayers (Specify):,31472
Theme 2:  Tax Base,Population,Namibia,2023,Total number of actual registered taxpayers,949764
Theme 2:  Tax Base,Population,Namibia,2023,Number of active corporate income taxpayers:,
Theme 2:  Tax Base,Population,Namibia,2023,Number of active VAT taxpayers:,
Theme 2:  Tax Base,Population,Namibia,2023,Number of active personal income taxpayers:,
Theme 2:  Tax Base,Population,Namibia,2023,Number of active wage taxpayers (employers):,
Theme 2:  Tax Base,Population,Namibia,2023,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Namibia,2023,Total number of actual active taxpayers,
Theme 2:  Tax Base,Population,Namibia,2023,Number of large corporate income taxpayers,
Theme 2:  Tax Base,Population,Namibia,2023,Number of large corporate income taxpayers,
Theme 2:  Tax Base,Population,Niger,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Niger,2023,Number of corporate income taxpayers:,15067
Theme 2:  Tax Base,Population,Niger,2023,Number of VAT taxpayers:,38207
Theme 2:  Tax Base,Population,Niger,2023,Number of personal income taxpayers:,37582
Theme 2:  Tax Base,Population,Niger,2023,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Niger,2023,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Niger,2023,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Niger,2023,Number presumptive taxpayers:,71705
Theme 2:  Tax Base,Population,Niger,2023,Other taxpayers (Specify):,
Theme 2:  Tax Base,Population,Niger,2023,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Population,Niger,2023,Number of active corporate income taxpayers:,10897
Theme 2:  Tax Base,Population,Niger,2023,Number of active VAT taxpayers:,19647
Theme 2:  Tax Base,Population,Niger,2023,Number of active personal income taxpayers:,21314
Theme 2:  Tax Base,Population,Niger,2023,Number of active wage taxpayers (employers):,
Theme 2:  Tax Base,Population,Niger,2023,Number of active wage taxpayers (employees):,
Theme 2:  Tax Base,Population,Niger,2023,Total number of actual active taxpayers,71591
Theme 2:  Tax Base,Population,Niger,2023,Number of large corporate income taxpayers,337
Theme 2:  Tax Base,Population,Niger,2023,Number of large corporate income taxpayers,293
Theme 2:  Tax Base,Population,Nigeria,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Nigeria,2023,Number of corporate income taxpayers:,609124
Theme 2:  Tax Base,Population,Nigeria,2023,Number of VAT taxpayers:,901577
Theme 2:  Tax Base,Population,Nigeria,2023,Number of personal income taxpayers:,412388
Theme 2:  Tax Base,Population,Nigeria,2023,Number of wage/salary taxpayers (employers):,7157
Theme 2:  Tax Base,Population,Nigeria,2023,Number of wage/salary taxpayers (employees):,7157
Theme 2:  Tax Base,Population,Nigeria,2023,Number of trust taxpayers:,13398
Theme 2:  Tax Base,Population,Nigeria,2023,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Nigeria,2023,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Nigeria,2023,Total number of actual registered taxpayers,901577
Theme 2:  Tax Base,Population,Nigeria,2023,Number of active corporate income taxpayers:,545239
Theme 2:  Tax Base,Population,Nigeria,2023,Number of active VAT taxpayers:,807019
Theme 2:  Tax Base,Population,Nigeria,2023,Number of active personal income taxpayers:,247432
Theme 2:  Tax Base,Population,Nigeria,2023,Number of active wage taxpayers (employers):,7157
Theme 2:  Tax Base,Population,Nigeria,2023,Number of active wage taxpayers (employees):,7157
Theme 2:  Tax Base,Population,Nigeria,2023,Total number of actual active taxpayers,807019
Theme 2:  Tax Base,Population,Nigeria,2023,Number of large corporate income taxpayers,4473
Theme 2:  Tax Base,Population,Nigeria,2023,Number of large corporate income taxpayers,4473
Theme 2:  Tax Base,Population,Rwanda,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Rwanda,2023,Number of corporate income taxpayers:,170195
Theme 2:  Tax Base,Population,Rwanda,2023,Number of VAT taxpayers:,45275
Theme 2:  Tax Base,Population,Rwanda,2023,Number of personal income taxpayers:,324289
Theme 2:  Tax Base,Population,Rwanda,2023,Number of wage/salary taxpayers (employers):,21423
Theme 2:  Tax Base,Population,Rwanda,2023,Number of wage/salary taxpayers (employees):,844833
Theme 2:  Tax Base,Population,Rwanda,2023,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Rwanda,2023,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Rwanda,2023,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Rwanda,2023,Total number of actual registered taxpayers,96334
Theme 2:  Tax Base,Population,Rwanda,2023,Number of active corporate income taxpayers:,135031
Theme 2:  Tax Base,Population,Rwanda,2023,Number of active VAT taxpayers:,45202
Theme 2:  Tax Base,Population,Rwanda,2023,Number of active personal income taxpayers:,282400
Theme 2:  Tax Base,Population,Rwanda,2023,Number of active wage taxpayers (employers):,21258
Theme 2:  Tax Base,Population,Rwanda,2023,Number of active wage taxpayers (employees):,844833
Theme 2:  Tax Base,Population,Rwanda,2023,Total number of actual active taxpayers,79157
Theme 2:  Tax Base,Population,Rwanda,2023,Number of large corporate income taxpayers,292
Theme 2:  Tax Base,Population,Rwanda,2023,Number of large corporate income taxpayers,292
Theme 2:  Tax Base,Population,Senegal,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Senegal,2023,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Senegal,2023,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Senegal,2023,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Senegal,2023,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Senegal,2023,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Senegal,2023,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Senegal,2023,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Senegal,2023,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Senegal,2023,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Senegal,2023,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Senegal,2023,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Senegal,2023,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Senegal,2023,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Senegal,2023,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Senegal,2023,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Senegal,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Senegal,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Seychelles,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Seychelles,2023,Number of corporate income taxpayers:,
Theme 2:  Tax Base,Population,Seychelles,2023,Number of VAT taxpayers:,
Theme 2:  Tax Base,Population,Seychelles,2023,Number of personal income taxpayers:,
Theme 2:  Tax Base,Population,Seychelles,2023,Number of wage/salary taxpayers (employers):,
Theme 2:  Tax Base,Population,Seychelles,2023,Number of wage/salary taxpayers (employees):,
Theme 2:  Tax Base,Population,Seychelles,2023,Number of trust taxpayers:,
Theme 2:  Tax Base,Population,Seychelles,2023,Number presumptive taxpayers:,
Theme 2:  Tax Base,Population,Seychelles,2023,Other taxpayers (Specify):,
Theme 2:  Tax Base,Population,Seychelles,2023,Total number of actual registered taxpayers,37083
Theme 2:  Tax Base,Population,Seychelles,2023,Number of active corporate income taxpayers:,
Theme 2:  Tax Base,Population,Seychelles,2023,Number of active VAT taxpayers:,
Theme 2:  Tax Base,Population,Seychelles,2023,Number of active personal income taxpayers:,
Theme 2:  Tax Base,Population,Seychelles,2023,Number of active wage taxpayers (employers):,
Theme 2:  Tax Base,Population,Seychelles,2023,Number of active wage taxpayers (employees):,
Theme 2:  Tax Base,Population,Seychelles,2023,Total number of actual active taxpayers,24899
Theme 2:  Tax Base,Population,Seychelles,2023,Number of large corporate income taxpayers,
Theme 2:  Tax Base,Population,Seychelles,2023,Number of large corporate income taxpayers,
Theme 2:  Tax Base,Population,Sudan,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Sudan,2023,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Sudan,2023,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Sudan,2023,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Sudan,2023,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Sudan,2023,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Sudan,2023,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Sudan,2023,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Sudan,2023,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Sudan,2023,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Sudan,2023,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Sudan,2023,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Sudan,2023,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Sudan,2023,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Sudan,2023,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Sudan,2023,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Sudan,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Sudan,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Tanzania,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Tanzania,2023,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Tanzania,2023,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Population,Tanzania,2023,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Tanzania,2023,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Tanzania,2023,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Tanzania,2023,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Tanzania,2023,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Population,Tanzania,2023,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Tanzania,2023,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Population,Tanzania,2023,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Population,Tanzania,2023,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Population,Tanzania,2023,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Tanzania,2023,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Tanzania,2023,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Tanzania,2023,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Population,Tanzania,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Tanzania,2023,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Population,Togo,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Togo,2023,Number of corporate income taxpayers:,38013
Theme 2:  Tax Base,Population,Togo,2023,Number of VAT taxpayers:,43780
Theme 2:  Tax Base,Population,Togo,2023,Number of personal income taxpayers:,177023
Theme 2:  Tax Base,Population,Togo,2023,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Population,Togo,2023,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Togo,2023,Number of trust taxpayers:,/
Theme 2:  Tax Base,Population,Togo,2023,Number presumptive taxpayers:,69243
Theme 2:  Tax Base,Population,Togo,2023,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Population,Togo,2023,Total number of actual registered taxpayers,348894
Theme 2:  Tax Base,Population,Togo,2023,Number of active corporate income taxpayers:,15805
Theme 2:  Tax Base,Population,Togo,2023,Number of active VAT taxpayers:,24353
Theme 2:  Tax Base,Population,Togo,2023,Number of active personal income taxpayers:,33898
Theme 2:  Tax Base,Population,Togo,2023,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Population,Togo,2023,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Togo,2023,Total number of actual active taxpayers,27117
Theme 2:  Tax Base,Population,Togo,2023,Number of large corporate income taxpayers,427
Theme 2:  Tax Base,Population,Togo,2023,Number of large corporate income taxpayers,407
Theme 2:  Tax Base,Population,Uganda,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Uganda,2023,Number of corporate income taxpayers:,190761
Theme 2:  Tax Base,Population,Uganda,2023,Number of VAT taxpayers:,34856
Theme 2:  Tax Base,Population,Uganda,2023,Number of personal income taxpayers:,3157140
Theme 2:  Tax Base,Population,Uganda,2023,Number of wage/salary taxpayers (employers):,
Theme 2:  Tax Base,Population,Uganda,2023,Number of wage/salary taxpayers (employees):,
Theme 2:  Tax Base,Population,Uganda,2023,Number of trust taxpayers:,
Theme 2:  Tax Base,Population,Uganda,2023,Number presumptive taxpayers:,
Theme 2:  Tax Base,Population,Uganda,2023,Other taxpayers (Specify):,
Theme 2:  Tax Base,Population,Uganda,2023,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Population,Uganda,2023,Number of active corporate income taxpayers:,
Theme 2:  Tax Base,Population,Uganda,2023,Number of active VAT taxpayers:,
Theme 2:  Tax Base,Population,Uganda,2023,Number of active personal income taxpayers:,
Theme 2:  Tax Base,Population,Uganda,2023,Number of active wage taxpayers (employers):,
Theme 2:  Tax Base,Population,Uganda,2023,Number of active wage taxpayers (employees):,
Theme 2:  Tax Base,Population,Uganda,2023,Total number of actual active taxpayers,
Theme 2:  Tax Base,Population,Uganda,2023,Number of large corporate income taxpayers,
Theme 2:  Tax Base,Population,Uganda,2023,Number of large corporate income taxpayers,
Theme 2:  Tax Base,Population,Zambia,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Zambia,2023,Number of corporate income taxpayers:,29519
Theme 2:  Tax Base,Population,Zambia,2023,Number of VAT taxpayers:,21179
Theme 2:  Tax Base,Population,Zambia,2023,Number of personal income taxpayers:,56298
Theme 2:  Tax Base,Population,Zambia,2023,Number of wage/salary taxpayers (employers):,
Theme 2:  Tax Base,Population,Zambia,2023,Number of wage/salary taxpayers (employees):,
Theme 2:  Tax Base,Population,Zambia,2023,Number of trust taxpayers:,
Theme 2:  Tax Base,Population,Zambia,2023,Number presumptive taxpayers:,
Theme 2:  Tax Base,Population,Zambia,2023,Other taxpayers (Specify):,
Theme 2:  Tax Base,Population,Zambia,2023,Total number of actual registered taxpayers,535735
Theme 2:  Tax Base,Population,Zambia,2023,Number of active corporate income taxpayers:,29519
Theme 2:  Tax Base,Population,Zambia,2023,Number of active VAT taxpayers:,21179
Theme 2:  Tax Base,Population,Zambia,2023,Number of active personal income taxpayers:,16721
Theme 2:  Tax Base,Population,Zambia,2023,Number of active wage taxpayers (employers):,
Theme 2:  Tax Base,Population,Zambia,2023,Number of active wage taxpayers (employees):,
Theme 2:  Tax Base,Population,Zambia,2023,Total number of actual active taxpayers,
Theme 2:  Tax Base,Population,Zambia,2023,Number of large corporate income taxpayers,
Theme 2:  Tax Base,Population,Zambia,2023,Number of large corporate income taxpayers,
Theme 2:  Tax Base,Population,Zimbabwe,2023,Taxpayers, 
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number of corporate income taxpayers:,257252
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number of VAT taxpayers:,38724
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number of wage/salary taxpayers (employers):,168940
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number of trust taxpayers:,
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number presumptive taxpayers:,
Theme 2:  Tax Base,Population,Zimbabwe,2023,Other taxpayers (Specify):,
Theme 2:  Tax Base,Population,Zimbabwe,2023,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number of active corporate income taxpayers:,58375
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number of active VAT taxpayers:,15344
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number of active wage taxpayers (employers):,45952
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Population,Zimbabwe,2023,Total number of actual active taxpayers,
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number of large corporate income taxpayers,726
Theme 2:  Tax Base,Population,Zimbabwe,2023,Number of large corporate income taxpayers,726
Theme 2:  Tax Base,Taxpayers,Angola,2010,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Taxpayers,Angola,2010,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Taxpayers,Angola,2010,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Taxpayers,Angola,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Taxpayers,Angola,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Taxpayers,Angola,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Taxpayers,Angola,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Taxpayers,Angola,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Taxpayers,Angola,2010,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Taxpayers,Angola,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Taxpayers,Angola,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Taxpayers,Angola,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Taxpayers,Angola,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Taxpayers,Angola,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Taxpayers,Angola,2010,Total number of actual active taxpayers,
